vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
1715,2026-01-28T18:54:46-06:00,Campbell and Queensway,Unknown,Unknown,Unknown,40.138833,-88.277333,Not available
2019,2026-01-28T18:54:46-06:00,Florida Ave. Residence Hall,Florida and Orchard,Illinois Terminal,Orchard Downs South Shelter,40.098083,-88.2189,TEAL East
1727,2026-01-28T18:54:52-06:00,Round Barn Road,Unknown,Unknown,Unknown,40.115883,-88.2767,Not available
2423,2026-01-28T18:54:40-06:00,Bradley at DSC,Bradley and McKinley,Parkland College,Urbana Walmart,40.1272,-88.265533,GREY East
2364,2026-01-28T18:54:52-06:00,Transit Plaza,Fifth and Chalmers,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.10765,-88.2289,ILLINI SOUTH
2260,2026-01-28T18:54:46-06:00,Krannert Center,Illini Union,Orchard Downs South Shelter,Illinois Terminal,40.1087,-88.223883,TEAL West
1605,2026-01-28T18:54:52-06:00,Crescent and Greendale,Crescent and William,Parkland College,Parkland College,40.100467,-88.28145,BROWN A
1610,2026-01-28T18:54:46-06:00,Springfield and Country Fair Dr.,Springfield and Mattis,U.S. 150 and Dodson Dr.,Plastipak,40.1128,-88.280533,ORANGE West
2434,2026-01-28T18:54:52-06:00,George Huff and Race,Race and McHenry,Orchard Downs South Shelter,Parkland College,40.090933,-88.21055,GREEN EVENING West
1938,2026-01-28T18:54:43-06:00,University and Race,Broadway north of Water,Parkland College,Urbana Walmart,40.115533,-88.207567,GREY East
2149,2026-01-28T18:54:43-06:00,Kirby and Oak,First and Gregory,Lot E-14,Lincoln Square,40.098017,-88.239117,GOLDHOPPER East
1723,2026-01-28T18:54:52-06:00,Neil and Healey,Green and Locust,Round Barn Road,Orchard Downs South Shelter,40.1102,-88.2435,GREEN EVENING East
1602,2026-01-28T18:53:43-06:00,Unknown,Unknown,Unknown,Unknown,40.11535,-88.242017,Not available
2414,2026-01-28T18:54:43-06:00,State and Park,State and White,Illinois Terminal,Westfield and Lawndale,40.11685,-88.24685,GREEN WEST
2431,2026-01-28T18:54:52-06:00,Windsor and Fields South,Windsor and Fields South,Mullikin and Curtis Meadow,Illinois Terminal,40.081567,-88.30895,NAVY East
2429,2026-01-28T18:54:43-06:00,Campus Circle,Goodwin and Main,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.116417,-88.222117,ILLINI South
2439,2026-01-28T18:54:49-06:00,Kirby and Glenshire,Cobblefield and Englewood,Round Barn Road,Round Barn Road,40.098633,-88.310533,PINK A
2105,2026-01-28T18:54:52-06:00,First and Stadium,First and Armory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.103883,-88.2386,ILLINI North
2365,2026-01-28T18:54:46-06:00,Krannert Center,Lincoln and Illinois,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109,-88.22215,ILLINI South
1725,2026-01-28T18:50:04-06:00,Unknown,Prospect and Interstate,Champaign Walmart,Illinois Terminal,40.148417,-88.255567,YELLOW SOUTH
1611,2026-01-28T18:54:49-06:00,Main and Grove,Lincoln Square,Urbana Walmart,Lincoln Square,40.11275,-88.202617,GREY West
2428,2026-01-28T18:54:43-06:00,Unknown,Logan and First,Illinois Terminal,Savoy Walmart,40.1154,-88.241317,YELLOW EVENING South
1728,2026-01-28T18:54:52-06:00,Philo and Colorado,Florida and Philo,Champaign Walmart,Lincoln Square,40.097,-88.190667,RED Urbana
1352,2026-01-28T18:54:52-06:00,Paddock Dr. East at Winfield Village Lot,Woodfield and Arbour Town Place,Savoy Walmart,Champaign Walmart,40.06897,-88.246167,YELLOW EVENING North
2418,2026-01-28T18:54:40-06:00,Wright and Healey,Wright and Chalmers,Illinois Terminal,Round Barn Road,40.10855,-88.228917,BLUE West
1349,2026-01-28T18:54:52-06:00,Green and Goodwin,Green and Busey,Parkland College,Florida and Philo,40.110453,-88.2265,GREENHOPPER East
1835,2026-01-28T18:54:52-06:00,Green and Race,Green and Orchard,Washington and Lierman,Round Barn Road,40.110733,-88.211517,GREENHOPPER West
2417,2026-01-28T18:54:46-06:00,Church and Elm,Church and New,Urbana Walmart,Parkland College,40.118283,-88.252183,GREY WEST
2148,2026-01-28T18:54:43-06:00,Pennsylvania and Race,Florida and Pleasant Dr.,Champaign Walmart,Lincoln Square,40.098283,-88.209417,RED Urbana
2433,2026-01-28T18:54:52-06:00,Springfield and Gregory St.,Unknown,Devonshire and Mayfair,Lincoln Square,40.112767,-88.220083,GOLD East
2437,2026-01-28T18:52:25-06:00,Illinois Terminal,Unknown,Unknown,Unknown,40.115317,-88.241367,Not available
2022,2026-01-28T18:54:49-06:00,Gregory at Library,Transit Plaza,Pennsylvania Ave. Residence Hall,Lincoln Square,40.105433,-88.229983,SILVER NORTH
2104,2026-01-28T18:54:40-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.220883,ILLINI North
2145,2026-01-28T18:54:46-06:00,Bloomington and Highland,Bloomington and Hagan,Interstate and Research,Illinois Terminal,40.1322,-88.258217,LAVENDER South
1348,2026-01-28T18:54:49-06:00,Springfield and Harvey,Green and Goodwin,Lincoln Square,Pennsylvania Ave. Residence Hall,40.112797,-88.223333,SILVER South
2367,2026-01-28T18:52:13-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.220617,ILLINI North
2044,2026-01-28T18:54:43-06:00,Clayton and Irvine,Duncan and Lager,Parkland College,Wright and Healey,40.1219,-88.295633,BROWN B
2017,2026-01-28T18:54:40-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.108883,-88.22885,ILLINI North
2043,2026-01-28T18:54:49-06:00,Country Squire and Kinch,Hunter and Lanore,Westfield and Lawndale,Main and Brady,40.102433,-88.183583,GREEN East
1717,2026-01-28T18:54:40-06:00,Mattis and William,Mattis and Sangamon,Illinois Terminal,Round Barn Road,40.10455,-88.276683,BLUE West
2018,2026-01-28T18:54:49-06:00,Fourth and Gregory,Gregory at Mumford Hall,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1041,-88.233083,ILLINI South
2419,2026-01-28T18:54:52-06:00,Broadway and University,University and McCullough,Lincoln Square,Parkland College,40.116533,-88.2105,GREY EVENING West
2432,2026-01-28T18:54:43-06:00,Parkview,First and Lake Park North,Champaign Walmart,Savoy Walmart,40.0689,-88.2409,YELLOW South
2020,2026-01-28T18:54:31-06:00,Springfield and Harvey,Unknown,Lot E-14,Perkins and Eastern,40.112767,-88.220767,GOLD East
1722,2026-01-28T18:54:43-06:00,Green and Gregory St.,Illini Union,Main and Brady,Westfield and Lawndale,40.110517,-88.223267,GREEN West
1733,2026-01-28T18:54:49-06:00,Pennsylvania and Dorner,Lincoln and St. Marys Rd,Vet-Med,Vet-Med,40.0993,-88.221167,RAVEN N/A
